activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration
Sleep,Rest,1529693223763,Sat Jun 23 00:17:03 GMT+05:30 2018,1529693950214,Sat Jun 23 00:29:10 GMT+05:30 2018,726451,12 min
Break,Health,1529693950214,Sat Jun 23 00:29:10 GMT+05:30 2018,1529695046835,Sat Jun 23 00:47:26 GMT+05:30 2018,1096621,18 min
Sleep,Rest,1529695046835,Sat Jun 23 00:47:26 GMT+05:30 2018,1529715663411,Sat Jun 23 06:31:03 GMT+05:30 2018,20616576,5 h 43 min
morning routine,Chores,1529715663411,Sat Jun 23 06:31:03 GMT+05:30 2018,1529718340000,Sat Jun 23 07:15:40 GMT+05:30 2018,2676589,44 min
Commute,Transport,1529718340000,Sat Jun 23 07:15:40 GMT+05:30 2018,1529718927437,Sat Jun 23 07:25:27 GMT+05:30 2018,587437,9 min
classes,Work,1529718927437,Sat Jun 23 07:25:27 GMT+05:30 2018,1529737901037,Sat Jun 23 12:41:41 GMT+05:30 2018,18973600,5 h 16 min
Commute,Transport,1529737901037,Sat Jun 23 12:41:41 GMT+05:30 2018,1529739205734,Sat Jun 23 13:03:25 GMT+05:30 2018,1304697,21 min
Eating,Eating,1529739205734,Sat Jun 23 13:03:25 GMT+05:30 2018,1529741121989,Sat Jun 23 13:35:21 GMT+05:30 2018,1916255,31 min
sleeping in the day,Rest,1529741121989,Sat Jun 23 13:35:21 GMT+05:30 2018,1529753204819,Sat Jun 23 16:56:44 GMT+05:30 2018,12082830,3 h 21 min
WSWS,Wasted Time,1529753204819,Sat Jun 23 16:56:44 GMT+05:30 2018,1529759000751,Sat Jun 23 18:33:20 GMT+05:30 2018,5795932,1 h 36 min
Break,Health,1529759000751,Sat Jun 23 18:33:20 GMT+05:30 2018,1529761017958,Sat Jun 23 19:06:57 GMT+05:30 2018,2017207,33 min
studying,Work,1529761017958,Sat Jun 23 19:06:57 GMT+05:30 2018,1529763453468,Sat Jun 23 19:47:33 GMT+05:30 2018,2435510,40 min
Sleep,Rest,1529763453468,Sat Jun 23 19:47:33 GMT+05:30 2018,1529765245207,Sat Jun 23 20:17:25 GMT+05:30 2018,1791739,29 min
studying,Work,1529765245207,Sat Jun 23 20:17:25 GMT+05:30 2018,1529768095320,Sat Jun 23 21:04:55 GMT+05:30 2018,2850113,47 min
internet time waste,Wasted Time,1529768095320,Sat Jun 23 21:04:55 GMT+05:30 2018,1529788464113,Sun Jun 24 02:44:24 GMT+05:30 2018,20368793,5 h 39 min
Sleep,Rest,1529788464113,Sun Jun 24 02:44:24 GMT+05:30 2018,1529813320099,Sun Jun 24 09:38:40 GMT+05:30 2018,24855986,6 h 54 min
morning routine,Chores,1529813320099,Sun Jun 24 09:38:40 GMT+05:30 2018,1529813786340,Sun Jun 24 09:46:26 GMT+05:30 2018,466241,7 min
